;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
1995;1996;95.0;7.0;USA;15000000.0;4006906.0;3229;20.0;23.0;83;2.0;927.0;912.0;807.0;4990;4.1;Fair
654;655;140.0;0.0;USA;62000000.0;172071312.0;208817;296.0;159.0;5000;2000.0;15000.0;968.0;552.0;17171;7.6;Good
4603;4604;90.0;3.0;USA;;5494.0;377;13.0;8.0;17;18.0;491.0;490.0;422.0;2633;5.6;Fair
1528;1529;99.0;0.0;USA;33000000.0;35057332.0;45394;72.0;121.0;19000;35.0;3000.0;594.0;433.0;4863;6.5;Good
2881;2882;105.0;0.0;USA;26000000.0;28501651.0;88037;201.0;217.0;10000;260.0;20000.0;15000.0;1000.0;39473;7.1;Good
2460;2461;92.0;0.0;USA;;;436;6.0;15.0;378;662.0;662.0;290.0;161.0;1498;4.0;Bad
2576;2577;112.0;0.0;USA;16000000.0;4839383.0;21613;148.0;109.0;762;11000.0;11000.0;650.0;642.0;12766;6.6;Good
429;430;130.0;0.0;USA;8000000.0;;29932;211.0;127.0;0;0.0;875.0;826.0;602.0;2662;6.9;Good
4094;4095;95.0;0.0;USA;3000000.0;3559990.0;8005;49.0;30.0;417;45.0;578.0;341.0;267.0;1363;5.3;Fair
2028;2029;115.0;1.0;USA;24000000.0;32662299.0;16469;275.0;106.0;0;597.0;893.0;854.0;597.0;3946;6.9;Good
2245;2246;98.0;0.0;USA;20000000.0;8500000.0;2061;34.0;13.0;501;15.0;691.0;374.0;281.0;1761;5.4;Fair
1048;1049;123.0;1.0;USA;48000000.0;47095453.0;64595;316.0;125.0;0;446.0;20000.0;1000.0;821.0;22209;6.4;Good
4539;4540;120.0;11.0;USA;5000000.0;20773070.0;4501;102.0;29.0;0;18.0;634.0;420.0;295.0;1810;3.4;Bad
2038;2039;124.0;0.0;USA;24000000.0;8427204.0;10100;59.0;73.0;153;41.0;512.0;481.0;197.0;1523;5.4;Fair
4921;4922;97.0;0.0;UK;120000.0;469947.0;19846;68.0;143.0;0;131.0;507.0;75.0;67.0;654;7.7;Good
4472;4473;103.0;1.0;USA;1300000.0;;4866;38.0;24.0;969;0.0;35000.0;516.0;511.0;38121;5.2;Fair
1287;1288;111.0;2.0;USA;40000000.0;20300000.0;16741;60.0;50.0;309;17.0;14000.0;940.0;889.0;17877;6.2;Good
2587;2588;161.0;0.0;France;13000000.0;336467.0;45449;192.0;216.0;23000;929.0;488.0;289.0;116.0;943;7.3;Good
1591;1592;120.0;1.0;USA;30000000.0;115648585.0;160776;402.0;157.0;0;132.0;33000.0;18000.0;1000.0;54877;7.8;Good
3258;3259;144.0;0.0;USA;9600000.0;2483955.0;8369;165.0;52.0;957;0.0;786.0;228.0;195.0;1674;6.7;Good
679;680;121.0;2.0;USA;65000000.0;33328051.0;60508;285.0;94.0;4000;212.0;394.0;380.0;263.0;1531;6.7;Good
2956;2957;109.0;2.0;USA;12000000.0;31990064.0;63390;160.0;191.0;0;14.0;733.0;558.0;376.0;2753;6.4;Good
441;442;83.0;1.0;USA;80000000.0;155019340.0;127345;250.0;166.0;0;12.0;13000.0;7000.0;925.0;22813;6.8;Good
1767;1768;90.0;0.0;Germany;28000000.0;45162741.0;201084;523.0;135.0;0;0.0;14000.0;10000.0;8000.0;34565;6.6;Good
764;765;96.0;3.0;USA;60000000.0;50807639.0;40883;122.0;219.0;11000;7.0;874.0;668.0;642.0;3151;6.8;Good
3640;3641;117.0;2.0;USA;7840000.0;;6454;44.0;38.0;733;160.0;11000.0;949.0;898.0;15604;7.4;Good
1911;1912;85.0;0.0;USA;25000000.0;39880476.0;12218;33.0;38.0;187;0.0;1000.0;535.0;503.0;2908;5.2;Fair
3063;3064;95.0;2.0;USA;5000000.0;16017403.0;17333;153.0;92.0;0;596.0;1000.0;835.0;697.0;3300;6.2;Good
2353;2354;125.0;0.0;China;19400000.0;8047690.0;77656;220.0;143.0;0;43.0;2000.0;594.0;7.0;2608;7.5;Good
4204;4205;106.0;2.0;UK;14000000.0;115504.0;4820;26.0;22.0;0;8.0;611.0;397.0;315.0;1739;6.2;Good
2137;2138;123.0;1.0;Germany;21000000.0;36581633.0;52533;235.0;84.0;10000;98.0;2000.0;826.0;579.0;3994;7.5;Good
958;959;98.0;3.0;USA;65000000.0;67128202.0;43328;110.0;166.0;0;99.0;12000.0;536.0;433.0;14007;5.7;Fair
1998;1999;80.0;3.0;France;25000000.0;;96480;181.0;376.0;21000;2000.0;14000.0;11000.0;132.0;25143;7.2;Good
2068;2069;102.0;0.0;UK;23000000.0;10660147.0;17740;165.0;90.0;0;277.0;327.0;261.0;57.0;672;7.2;Good
3005;3006;110.0;1.0;USA;12000000.0;175370.0;6884;133.0;42.0;458;18.0;13000.0;883.0;865.0;17417;4.6;Fair
1600;1601;112.0;0.0;South Africa;30000000.0;115646235.0;531737;1262.0;472.0;22000;662.0;2000.0;433.0;107.0;2639;8.0;Good
4103;4104;102.0;0.0;USA;3000000.0;1821983.0;31089;261.0;254.0;20000;0.0;40000.0;3000.0;387.0;43810;5.4;Fair
1353;1354;133.0;1.0;Spain;38000000.0;18653746.0;137722;638.0;172.0;0;2000.0;40000.0;903.0;541.0;42344;6.7;Good
